User Review Score,Date of Review,Name,Game Id,User Reviewer
3,2008-07-21 03:40:29,Arkadian Warriors,3030-2890,bwooduhs
5,2008-07-21 03:41:01,Forza Motorsport,3030-17599,bennyishere
5,2008-07-21 03:44:31,Half-Life,3030-2980,thatguy0130
4,2008-07-21 03:44:47,Dead or Alive Ultimate,3030-13753,bennyishere
4,2008-07-21 03:47:47,Grand Theft Auto III,3030-3724,pinkelephant
4,2008-07-21 03:48:29,Ninja Gaiden II,3030-20553,mcbonjon
3,2008-07-21 03:53:29,Medal of Honor: Vanguard,3030-13435,thatguy0130
4,2008-07-21 03:54:28,Metroid Prime,3030-15473,drewm135
5,2008-07-21 03:56:15,Burnout 3: Takedown,3030-357,bennyishere
3,2008-07-21 03:57:22,Star Trek: Conquest,3030-17105,thatguy0130
5,2008-07-21 03:57:27,Zelda no Densetsu: Toki no Ocarina,3030-12572,drewm135
4,2008-07-21 03:58:51,Burnout Paradise,3030-5648,monkeysdad
3,2008-07-21 04:01:34,Dragon Ball Z: Burst Limit,3030-20500,ashwyn
5,2008-07-21 04:01:37,GoldenEye 007,3030-3166,drewm135
5,2008-07-21 04:06:29,Call of Duty 4: Modern Warfare,3030-2133,sharvie
4,2008-07-21 04:07:15,Unreal Tournament III,3030-10955,berva
5,2008-07-21 04:07:38,Gears of War (Limited Collector's Edition),3030-12231,lozz
4,2008-07-21 04:10:07,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,berva
4,2008-07-21 04:11:08,Lost Planet: Extreme Condition,3030-17762,sharvie
5,2008-07-21 04:11:10,Sam & Max: Season One,3030-6049,kensterfox
5,2008-07-21 04:11:52,Burnout Paradise,3030-5648,ashwyn
5,2008-07-21 04:12:09,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,raspinudo
3,2008-07-21 04:12:39,Musou Orochi,3030-5552,sharvie
4,2008-07-21 04:13:53,Thrillville,3030-18956,thatguy0130
2,2008-07-21 04:15:33,Spider-Man: Friend or Foe,3030-20258,sharvie
5,2008-07-21 04:16:49,Rome: Total War,3030-19887,sharvie
5,2008-07-21 04:17:10,Unreal Tournament,3030-17448,thatguy0130
4,2008-07-21 04:19:03,Medieval II: Total War,3030-4685,sharvie
4,2008-07-21 04:20:50,MotorStorm,3030-24793,sharvie
5,2008-07-21 04:21:48,Musou Orochi,3030-5552,thatguy0130
3,2008-07-21 04:21:59,The Lord of the Rings: The Battle for Middle Earth II,3030-4867,sharvie
4,2008-07-21 04:22:42,Dynasty Warriors 3,3030-1224,ninja
4,2008-07-21 04:23:48,Zelda no Densetsu: Mugen no Sunadokei,3030-3666,sharvie
5,2008-07-21 04:24:16,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,josephbarron
5,2008-07-21 04:24:44,Tribes 2,3030-2832,columnbreaker
5,2008-07-21 04:25:24,Resistance: Jinrui Botsuraku no Hi,3030-9741,thegamerfix
4,2008-07-21 04:25:29,Crackdown,3030-4065,kensterfox
4,2008-07-21 04:25:34,Assassin's Creed (Limited Edition),3030-2950,sharvie
5,2008-07-21 04:26:14,BioShock (Limited Edition),3030-17280,sharvie
5,2008-07-21 04:26:55,Picross DS,3030-19050,kensterfox
3,2008-07-21 04:28:27,Kane & Lynch: Dead Men,3030-19874,ashwyn
5,2008-07-21 04:30:24,Team Fortress 2 (Retail Standalone),3030-18162,demilich
4,2008-07-21 04:30:33,All-Pro Football 2K8,3030-8480,kensterfox
3,2008-07-21 04:30:37,Ninja Gaiden II,3030-20553,krazychris
4,2008-07-21 04:30:53,Phoenix Wright: Ace Attorney,3030-19409,optimusprime223
5,2008-07-21 04:32:02,Super Mario Galaxy,3030-16094,dougbuffone
3,2008-07-21 04:32:47,Final Fantasy XII,3030-11497,ashwyn
4,2008-07-21 04:33:16,Elite Beat Agents,3030-11982,kensterfox
5,2008-07-21 04:34:10,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,8xbit
5,2008-07-21 04:34:15,Metal Gear Solid 3: Subsistence (Limited Edition),3030-10267,dougbuffone
4,2008-07-21 04:35:43,Call of Duty 2,3030-2347,pinkelephant
5,2008-07-21 04:36:36,Guitar Hero,3030-6311,kensterfox
3,2008-07-21 04:36:48,Mass Effect (Limited Collector's Edition),3030-16909,something_clever
5,2008-07-21 04:39:18,Grand Theft Auto IV,3030-20457,robobie
5,2008-07-21 04:40:25,Ratchet & Clank,3030-18309,pmonnier
5,2008-07-21 04:41:37,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,oni
5,2008-07-21 04:45:04,Beyond Good & Evil,3030-15835,alexisstillathreat
5,2008-07-21 04:45:57,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,piecat
4,2008-07-21 04:58:46,Doom 3,3030-14537,jax
5,2008-07-21 05:02:50,Battlefield: Bad Company,3030-20655,saitenmar
5,2008-07-21 05:07:24,Zelda no Densetsu: Toki no Ocarina,3030-12572,themikelguereca
4,2008-07-21 05:09:28,Fire Emblem: Radiant Dawn,3030-14489,mara
4,2008-07-21 05:11:04,LEGO Star Wars: The Complete Saga,3030-11120,caddy
5,2008-07-21 05:11:58,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,samuraibudgerigar
4,2008-07-21 05:12:45,Age of Conan: Hyborian Adventures,3030-9641,mara
5,2008-07-21 05:14:28,Mass Effect (Limited Collector's Edition),3030-16909,samuraibudgerigar
4,2008-07-21 05:15:21,Shadowgrounds,3030-9203,knurrunkulus
4,2008-07-21 05:16:48,UNO,3030-12083,samuraibudgerigar
2,2008-07-21 05:19:33,flOw,3030-15849,samuraibudgerigar
5,2008-07-21 05:21:02,Unreal Tournament III (Collector's Edition),3030-10955,nezze00
4,2008-07-21 05:23:14,Dreamfall: The Longest Journey,3030-2426,rovsena
5,2008-07-21 05:24:04,Big Rigs: Over the Road Racing,3030-19987,adrenalindragon
4,2008-07-21 05:24:29,Battlefield: Bad Company,3030-20655,ogcartman
4,2008-07-21 05:25:48,Battlefield 2 (Deluxe Edition),3030-16866,johanz
5,2008-07-21 05:25:52,Rock Band,3030-9860,frenchfriedfool
5,2008-07-21 05:27:50,Super Mario World,3030-1334,banzai_nl
4,2008-07-21 05:28:55,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,dillonator
5,2008-07-21 05:31:16,"Elder Scrolls IV: Oblivion (Collector's Edition), The",3030-20238,maddcribbage
5,2008-07-21 05:35:52,Makai Kingdom: Chronicles of the Sacred Tome,3030-451,kingmasters
4,2008-07-21 05:37:46,Skate,3030-5228,cardon
5,2008-07-21 05:38:03,Mario Kart DS,3030-6539,brooklyngrenade
3,2008-07-21 05:38:18,Alone in the Dark,3030-20475,mourne
4,2008-07-21 05:39:30,Bubble Bobble Old & New,3030-13532,lordelx
5,2008-07-21 05:39:52,Call of Duty 4: Modern Warfare,3030-2133,karmum
2,2008-07-21 05:41:33,Lair,3030-9387,cardon
5,2008-07-21 05:42:07,Professor Layton and the Curious Village,3030-11865,eduardo
5,2008-07-21 05:44:16,God of War II,3030-11314,cardon
5,2008-07-21 05:44:36,Ōkami,3030-20555,jamesconsidine
5,2008-07-21 05:45:29,Battlefield: Bad Company,3030-20655,guiltyspark
3,2008-07-21 05:49:11,NBA Street Homecourt,3030-10302,cardon
4,2008-07-21 05:49:18,Guitar Hero: On Tour,3030-20639,steph2def
5,2008-07-21 05:49:45,God Slayer: Haruka Tenkuu no Sonata,3030-2231,audioseb
4,2008-07-21 05:53:17,flOw,3030-15849,cardon
5,2008-07-21 05:54:09,Halo 3 (Legendary Edition),3030-9993,natsfan7
3,2008-07-21 05:55:22,Army of Two,3030-20479,solidchicken
1,2008-07-21 05:56:17,Undertow,3030-19512,karmum
3,2008-07-21 05:56:53,Def Jam: Icon,3030-16690,cardon
4,2008-07-21 05:59:04,Resistance: Jinrui Botsuraku no Hi,3030-9741,cardon
3,2008-07-21 06:01:04,Genji: Days of the Blade,3030-15569,cardon
4,2008-07-21 06:01:18,Heavenly Sword,3030-7876,benderunit22
5,2008-07-21 06:03:11,Grand Theft Auto IV,3030-20457,dsplayer1010
2,2008-07-21 06:04:52,Full Auto 2: Battlelines,3030-12142,cardon
5,2008-07-21 06:06:27,Gears of War (Limited Collector's Edition),3030-12231,unwisedolphin
5,2008-07-21 06:06:40,Syphon Filter: Dark Mirror,3030-15502,cardon
4,2008-07-21 06:06:51,Civilization Revolution,3030-20580,chunkymonkey
5,2008-07-21 06:08:31,Star Wars: Knights of the Old Republic,3030-18741,rovsena
5,2008-07-21 06:09:45,Grand Theft Auto IV,3030-20457,ogcartman
5,2008-07-21 06:12:14,Half-Life 2,3030-1539,mariussmit
3,2008-07-21 06:13:28,24: The Game,3030-13700,cardon
5,2008-07-21 06:15:32,Nintendo Puzzle Collection,3030-11736,lordelx
3,2008-07-21 06:15:33,Mario & Sonic at the Olympic Games,3030-15205,arsenal86
5,2008-07-21 06:15:51,Crackdown,3030-4065,babblinmule
5,2008-07-21 06:16:16,Burnout Paradise,3030-5648,wallacethegreat
5,2008-07-21 06:17:13,Burnout Paradise,3030-5648,gleasonryan
5,2008-07-21 06:18:00,Psychonauts,3030-2906,spencer
5,2008-07-21 06:18:04,Grand Theft Auto IV,3030-20457,evolution
4,2008-07-21 06:18:04,Black,3030-8369,cardon
3,2008-07-21 06:18:10,Ōkami,3030-20555,nate
5,2008-07-21 06:18:53,Earth Defense Force 2017,3030-7338,brashnir
5,2008-07-21 06:19:59,Contra,3030-4350,loopy_101
4,2008-07-21 06:20:25,Top Spin 3,3030-20857,dmrk42
5,2008-07-21 06:21:36,"Elder Scrolls IV: Oblivion (Collector's Edition), The",3030-20238,xcell9200
3,2008-07-21 06:21:50,Silent Hill 2: Restless Dreams (Platinum Hits),3030-614,eduardo
5,2008-07-21 06:22:02,Devil May Cry 3: Dante's Awakening,3030-890,cardon
5,2008-07-21 06:22:08,Call of Duty 4: Modern Warfare,3030-2133,gleasonryan
3,2008-07-21 06:22:35,Earth Defense Force 2017,3030-7338,dc
5,2008-07-21 06:23:36,God of War II,3030-11314,eduardo
4,2008-07-21 06:24:16,Tom Clancy's Ghost Recon: Advanced Warfighter,3030-2397,ross
4,2008-07-21 06:24:29,PQ: Practical Intelligence Quotient,3030-10673,cardon
5,2008-07-21 06:24:32,F355 Challenge: Passione Rossa,3030-285,sparkster
5,2008-07-21 06:25:17,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,gr1mace
4,2008-07-21 06:26:09,Tom Clancy's Splinter Cell: Chaos Theory,3030-12354,eduardo
4,2008-07-21 06:28:09,Condemned: Criminal Origins,3030-8804,darro
4,2008-07-21 06:28:47,Burnout Legends,3030-4970,cardon
2,2008-07-21 06:29:00,Scarface: The World is Yours,3030-9966,eduardo
4,2008-07-21 06:30:48,Destroy All Humans! 2,3030-9185,eduardo
5,2008-07-21 06:31:36,Halo: Combat Evolved,3030-2600,eduardo
4,2008-07-21 06:32:43,BioShock (Limited Edition),3030-17280,rovsena
5,2008-07-21 06:32:49,Team Fortress 2 (Retail Standalone),3030-18162,orakk
5,2008-07-21 06:33:37,Ōkami,3030-20555,benderunit22
5,2008-07-21 06:34:06,Banjo-Kazooie,3030-10920,spect8re
5,2008-07-21 06:35:40,Call of Duty 4: Modern Warfare,3030-2133,orakk
5,2008-07-21 06:35:44,Metal Gear Solid 3: Subsistence (Limited Edition),3030-10267,gr1mace
5,2008-07-21 06:35:59,Lady Bug,3030-17187,ironcladmerc
4,2008-07-21 06:39:00,Madden NFL 07,3030-16585,ross
5,2008-07-21 06:39:39,Counter-Strike: Source,3030-11339,nezze00
5,2008-07-21 06:39:59,Sonic Shuffle,3030-2819,sparkster
4,2008-07-21 06:40:06,Medal of Honor: Heroes,3030-5484,relentlessknight
4,2008-07-21 06:40:50,Rock Band,3030-9860,dsplayer1010
5,2008-07-21 06:41:06,Call of Duty 4: Modern Warfare,3030-2133,john
5,2008-07-21 06:41:19,Tom Clancy's Rainbow Six: Vegas 2,3030-1986,wesker
5,2008-07-21 06:42:21,Company of Heroes (Game of the Year),3030-18930,sweedums
4,2008-07-21 06:42:30,Crisis Core: Final Fantasy VII,3030-2361,atomicedge
4,2008-07-21 06:42:48,Psychonauts,3030-2906,ross
3,2008-07-21 06:44:47,TimeShift,3030-6338,benderunit22
4,2008-07-21 06:46:09,Tom Clancy's Rainbow Six: Vegas 2,3030-1986,sweedums
5,2008-07-21 06:46:19,Final Fantasy X International,3030-11237,ross
5,2008-07-21 06:46:36,Gothic II,3030-1804,bjorn
4,2008-07-21 06:46:54,Penny Arcade: On the Rain-Slick Precipice of Darkness - Episode One,3030-20696,atomicedge
5,2008-07-21 06:49:26,Grand Theft Auto IV,3030-20457,kush
3,2008-07-21 06:51:12,Alone in the Dark,3030-20475,sweedums
5,2008-07-21 06:53:10,Super Mario Galaxy,3030-16094,dsplayer1010
3,2008-07-21 06:55:03,Phoenix Wright: Ace Attorney - Justice For All,3030-13351,optimusprime223
4,2008-07-21 06:58:31,Day of Defeat: Source,3030-16121,sweedums
5,2008-07-21 06:58:40,Boom Blox,3030-20466,armada66
5,2008-07-21 07:03:22,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,solidskorpion
5,2008-07-21 07:03:34,Gears of War (Limited Collector's Edition),3030-12231,andy0drew
4,2008-07-21 07:03:52,Uncharted: Drake's Fortune,3030-13992,kush
5,2008-07-21 07:06:06,Grand Theft Auto IV,3030-20457,jameson
2,2008-07-21 07:06:43,Haze,3030-20455,wesker
4,2008-07-21 07:08:09,FolksSoul,3030-7586,benderunit22
3,2008-07-21 07:08:41,Tom Clancy's Rainbow Six: Vegas 2,3030-1986,kush
5,2008-07-21 07:08:51,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,jameson
5,2008-07-21 07:10:10,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,wesker
5,2008-07-21 07:11:31,Tomba!,3030-8014,reetesh
5,2008-07-21 07:11:32,Zelda no Densetsu: Toki no Ocarina,3030-12572,normanoftorn
3,2008-07-21 07:12:15,Frontlines: Fuel of War,3030-19654,kush
5,2008-07-21 07:12:43,Skate,3030-5228,jamesf
4,2008-07-21 07:15:02,TimeShift,3030-6338,jamesf
5,2008-07-21 07:16:43,"Orange Box, The",3030-17729,jamesf
4,2008-07-21 07:18:42,Guitar Hero III: Legends of Rock (Bundle),3030-4031,jamesf
3,2008-07-21 07:19:42,Rocketmen: Axis of Evil,3030-20570,kush
5,2008-07-21 07:19:50,"Elder Scrolls III: Morrowind (Game of the Year Edition), The",3030-17367,ben
3,2008-07-21 07:21:04,"Warhammer 40,000: Squad Command",3030-13936,jamesf
0,2008-07-21 07:22:24,Jumper: Griffin's Story,3030-20797,kush
2,2008-07-21 07:23:45,Aliens vs. Predator: Requiem,3030-20474,jamesf
4,2008-07-21 07:23:57,Zelda no Densetsu: Mugen no Sunadokei,3030-3666,imhungry
5,2008-07-21 07:24:19,Lost Odyssey,3030-2719,hooligunn
4,2008-07-21 07:26:16,LEGO Indiana Jones: The Original Adventures,3030-20534,xenos_19
3,2008-07-21 07:27:37,Lost: Via Domus,3030-18566,justjason
4,2008-07-21 07:28:04,Guitar Hero: Aerosmith,3030-20684,rhcpfan24
4,2008-07-21 07:28:59,Omega Five,3030-20772,jamesf
4,2008-07-21 07:31:18,Killer7,3030-18347,thebipsnbeeps
4,2008-07-21 07:31:55,Condemned 2: Bloodshot,3030-20465,microwavedapple
2,2008-07-21 07:33:24,MX vs. ATV Untamed,3030-20889,jamesf
4,2008-07-21 07:34:47,Grand Theft Auto IV,3030-20457,hanabi
3,2008-07-21 07:35:24,MX vs. ATV Untamed,3030-20889,jamesf
5,2008-07-21 07:36:35,Jak II,3030-10384,al
5,2008-07-21 07:37:14,Call of Duty 4: Modern Warfare,3030-2133,mordok44
3,2008-07-21 07:39:27,F.E.A.R. Files,3030-3980,jamesf
5,2008-07-21 07:40:16,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,demoman
5,2008-07-21 07:41:26,Super Smash Bros. Brawl,3030-20588,hairymike87
4,2008-07-21 07:41:29,Rampage,3030-4940,alex_v
5,2008-07-21 07:41:56,Mass Effect (Limited Collector's Edition),3030-16909,jamesf
5,2008-07-21 07:42:46,Final Fantasy X International,3030-11237,benderunit22
4,2008-07-21 07:43:54,Grand Theft Auto IV,3030-20457,lairdo
5,2008-07-21 07:44:05,God of War: Chains of Olympus,3030-20592,jamesf
4,2008-07-21 07:44:41,Diablo II,3030-1119,pikapichu
4,2008-07-21 07:44:50,Super Smash Bros. Brawl,3030-20588,mushir
4,2008-07-21 07:45:28,Crysis (Collector's Edition),3030-11757,eznark
4,2008-07-21 07:46:31,Tom Clancy's Rainbow Six: Vegas 2,3030-1986,jamesf
4,2008-07-21 07:47:37,Guitar Hero: On Tour,3030-20639,hairymike87
4,2008-07-21 07:48:21,MLB 08: The Show,3030-20835,jamesf
5,2008-07-21 07:49:17,Dungeon Keeper 2,3030-4820,termite
5,2008-07-21 07:49:56,Counter-Strike: Source,3030-11339,darkgoth678
5,2008-07-21 07:51:15,Gears of War (Limited Collector's Edition),3030-12231,illegalmedic
4,2008-07-21 07:51:39,Ninja Gaiden II,3030-20553,zimpanx
4,2008-07-21 07:51:55,Mario Kart Wii,3030-20645,guild_master
5,2008-07-21 07:52:53,Geometry Wars: Retro Evolved,3030-11099,hairymike87
5,2008-07-21 07:53:56,Audiosurf,3030-9436,mjolnir
3,2008-07-21 07:54:16,Assassin's Creed (Limited Edition),3030-2950,illegalmedic
4,2008-07-21 07:54:35,Dragon Ball Z: Burst Limit,3030-20500,seanbooker
2,2008-07-21 07:55:02,Red Steel,3030-7712,jondavis
4,2008-07-21 07:55:11,Ninja Gaiden Sigma (Collector's Edition),3030-18546,zimpanx
5,2008-07-21 07:57:03,Call of Duty 4: Modern Warfare,3030-2133,squizzle
5,2008-07-21 07:58:21,Super Mario World,3030-1334,rowdyrob
5,2008-07-21 07:59:02,Gears of War (Limited Collector's Edition),3030-12231,kowax
5,2008-07-21 07:59:03,Grand Theft Auto IV,3030-20457,cloudwork
4,2008-07-21 07:59:38,TOCA Race Driver 3,3030-13734,dankempster
3,2008-07-21 08:06:26,Commandos: Strike Force (Collector's Edition),3030-8271,bjorn
3,2008-07-21 08:07:23,Dirge of Cerberus: Final Fantasy VII,3030-5571,dankempster
5,2008-07-21 08:10:56,Battlefield: Bad Company,3030-20655,yoda
4,2008-07-21 08:12:21,Battalion Wars,3030-3575,ishoturface
5,2008-07-21 08:13:23,Fahrenheit,3030-2494,kaido
5,2008-07-21 08:13:44,Rock Band,3030-9860,mymanwich
5,2008-07-21 08:17:03,Halo 2 (Limited Collector's Edition),3030-7110,ishoturface
4,2008-07-21 08:17:33,Super Smash Bros. Brawl,3030-20588,guild_master
5,2008-07-21 08:19:17,Halo: Combat Evolved,3030-2600,ishoturface
5,2008-07-21 08:19:36,Ōkami,3030-20555,x_59
4,2008-07-21 08:20:01,Ironsword: Wizards & Warriors II,3030-12176,thedoca2
5,2008-07-21 08:21:12,BioShock (Limited Edition),3030-17280,x_59
5,2008-07-21 08:21:33,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,dark
5,2008-07-21 08:21:34,Battlefield: Bad Company,3030-20655,galvanizednails
5,2008-07-21 08:21:47,Max Payne,3030-2414,ishoturface
4,2008-07-21 08:22:08,Tomb Raider: Legend,3030-8554,dankempster
5,2008-07-21 08:22:24,Super Smash Bros. Brawl,3030-20588,xjgunz
5,2008-07-21 08:23:26,Max Payne 2: The Fall of Max Payne,3030-3547,ishoturface
5,2008-07-21 08:25:05,Call of Duty 4: Modern Warfare,3030-2133,lsutiger4life
4,2008-07-21 08:25:57,Kung Fu Chaos,3030-9533,ishoturface
4,2008-07-21 08:27:03,Super Paper Mario,3030-12739,xjgunz
4,2008-07-21 08:27:16,Civilization Revolution,3030-20580,vinchenzo
4,2008-07-21 08:27:38,Professor Layton and the Curious Village,3030-11865,x_59
4,2008-07-21 08:28:29,1080° Avalanche,3030-19339,termite
5,2008-07-21 08:28:42,World of Warcraft (Collector's Edition),3030-19783,ogcartman
4,2008-07-21 08:29:58,Oide yo Doubutsu no Mori,3030-9238,dankempster
4,2008-07-21 08:30:02,No More Heroes,3030-5581,xjgunz
5,2008-07-21 08:30:56,Super Smash Bros. Brawl,3030-20588,anonymouslegion
4,2008-07-21 08:31:52,Unreal Tournament 2003,3030-18828,wizzykid
4,2008-07-21 08:33:19,Forever Blue,3030-445,alex_v
5,2008-07-21 08:34:21,Battlefield: Bad Company,3030-20655,guild_master
5,2008-07-21 08:34:39,Chrono Trigger,3030-9249,masturbatingbear
4,2008-07-21 08:35:21,Wii Sports,3030-13328,xjgunz
4,2008-07-21 08:36:18,Boom Blox,3030-20466,dorgon
5,2008-07-21 08:37:14,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,azzkikr
